conversion,germline,ratio,avg_960_to_1010,avg_110_to_160,
0.55,0,0.6,0.607298822,,0.607298822
0.55,0.05,0.6,0.608856184,,0.608856184
0.55,0.1,0.6,0.640987755,,0.640987755
0.55,0.15,0.6,0.652134996,,0.652134996
0.55,0.2,0.6,0.682681834,,0.682681834
0.55,0.25,0.6,0.702077334,,0.702077334
0.55,0.3,0.1,,0.722624121,0.722624121
0.55,0.35,0.1,,0.738967134,0.738967134
0.55,0.4,0.1,,0.76184545,0.76184545
0.55,0.45,0.1,,0.781091453,0.781091453
0.55,0.5,0.1,,0.798122299,0.798122299
0.55,0.55,0.1,,0.820521861,0.820521861
0.55,0.6,0.1,,0.840303376,0.840303376
0.55,0.65,0.1,,0.859811135,0.859811135
0.55,0.7,0.1,,0.879832812,0.879832812
0.55,0.75,0.1,,0.898728566,0.898728566
0.55,0.8,0.1,,0.654800741,0.654800741
0.55,0.85,0.1,,0.603164521,0.603164521
0.55,0.9,0.1,,0.547535149,0.547535149
0.55,0.95,0.1,,0.520332376,0.520332376
0.55,1,0.1,,0.509904025,0.509904025
0.6,0,0.6,0.645081716,,0.645081716
0.6,0.05,0.6,0.653289757,,0.653289757
0.6,0.1,0.6,0.682017916,,0.682017916
0.6,0.15,0.6,0.701272749,,0.701272749
0.6,0.2,0.6,0.718146819,,0.718146819
0.6,0.25,0.6,0.731599946,,0.731599946
0.6,0.3,0.1,,0.747216078,0.747216078
0.6,0.35,0.1,,0.771024801,0.771024801
0.6,0.4,0.1,,0.785788924,0.785788924
0.6,0.45,0.1,,0.803441913,0.803441913
0.6,0.5,0.1,,0.822364736,0.822364736
0.6,0.55,0.1,,0.840290502,0.840290502
0.6,0.6,0.1,,0.857053695,0.857053695
0.6,0.65,0.1,,0.875281004,0.875281004
0.6,0.7,0.1,,0.893211936,0.893211936
0.6,0.75,0.1,,0.911026335,0.911026335
0.6,0.8,0.1,,0.708603324,0.708603324
0.6,0.85,0.1,,0.652485437,0.652485437
0.6,0.9,0.1,,0.619344097,0.619344097
0.6,0.95,0.1,,0.603786927,0.603786927
0.6,1,0.1,,0.578411925,0.578411925
0.65,0,0.6,0.695088534,,0.695088534
0.65,0.05,0.6,0.704190105,,0.704190105
0.65,0.1,0.6,0.7227182,,0.7227182
0.65,0.15,0.6,0.734568184,,0.734568184
0.65,0.2,0.6,0.747000434,,0.747000434
0.65,0.25,0.6,0.769404342,,0.769404342
0.65,0.3,0.1,,0.78278389,0.78278389
0.65,0.35,0.1,,0.796226957,0.796226957
0.65,0.4,0.1,,0.814600071,0.814600071
0.65,0.45,0.1,,0.828106498,0.828106498
0.65,0.5,0.1,,0.844912084,0.844912084
0.65,0.55,0.1,,0.859578259,0.859578259
0.65,0.6,0.1,,0.874959904,0.874959904
0.65,0.65,0.1,,0.890896648,0.890896648
0.65,0.7,0.1,,0.906724061,0.906724061
