conversion,germline,ratio,avg_960_to_1010,avg_110_to_160,
0.55,0.7,0.1,,0.879975992,0.879975992
0.55,0.75,0.1,,0.899815483,0.899815483
0.55,0.8,0.1,,0.919913479,0.919913479
0.55,0.85,0.1,,0.940027803,0.940027803
0.55,0.9,0.1,,0.960056078,0.960056078
0.55,0.95,0.1,,0.980168524,0.980168524
0.55,1,0.1,,1,1
0.6,0,0.6,0.64526508,,0.64526508
0.6,0.05,0.6,0.653326038,,0.653326038
0.6,0.1,0.6,0.683201525,,0.683201525
0.6,0.15,0.6,0.700774573,,0.700774573
0.6,0.2,0.6,0.718172726,,0.718172726
0.6,0.25,0.6,0.731305325,,0.731305325
0.6,0.3,0.1,,0.74700614,0.74700614
0.6,0.35,0.1,,0.77086243,0.77086243
0.6,0.4,0.1,,0.785933556,0.785933556
0.6,0.45,0.1,,0.803563698,0.803563698
0.6,0.5,0.1,,0.822557894,0.822557894
0.6,0.55,0.1,,0.840134348,0.840134348
0.6,0.6,0.1,,0.857416528,0.857416528
0.6,0.65,0.1,,0.875109457,0.875109457
0.6,0.7,0.1,,0.893242018,0.893242018
0.6,0.75,0.1,,0.911243905,0.911243905
0.6,0.8,0.1,,0.928949244,0.928949244
0.6,0.85,0.1,,0.946588126,0.946588126
0.6,0.9,0.1,,0.96469812,0.96469812
0.6,0.95,0.1,,0.982131873,0.982131873
0.6,1,0.1,,1,1
0.65,0,0.6,0.695424301,,0.695424301
0.65,0.05,0.6,0.704344538,,0.704344538
0.65,0.1,0.6,0.722744419,,0.722744419
0.65,0.15,0.6,0.734762916,,0.734762916
0.65,0.2,0.6,0.74718046,,0.74718046
0.65,0.25,0.6,0.769521416,,0.769521416
0.65,0.3,0.1,,0.782999845,0.782999845
0.65,0.35,0.1,,0.796026255,0.796026255
0.65,0.4,0.1,,0.81428063,0.81428063
0.65,0.45,0.1,,0.828222027,0.828222027
0.65,0.5,0.1,,0.845028827,0.845028827
0.65,0.55,0.1,,0.859515007,0.859515007
0.65,0.6,0.1,,0.875008413,0.875008413
0.65,0.65,0.1,,0.890883731,0.890883731
0.65,0.7,0.1,,0.906946864,0.906946864
0.65,0.75,0.1,,0.922323014,0.922323014
0.65,0.8,0.1,,0.937865153,0.937865153
0.65,0.85,0.1,,0.953478198,0.953478198
0.65,0.9,0.1,,0.968962776,0.968962776
0.65,0.95,0.1,,0.984507008,0.984507008
0.65,1,0.1,,1,1
0.7,0,0.6,0.73170448,,0.73170448
0.7,0.05,0.6,0.743153856,,0.743153856
0.7,0.1,0.6,0.761806451,,0.761806451
0.7,0.15,0.6,0.773744258,,0.773744258
0.7,0.2,0.6,0.786007475,,0.786007475
0.7,0.25,0.6,0.797937853,,0.797937853
0.7,0.3,0.1,,0.814430797,0.814430797
0.7,0.35,0.1,,0.825971204,0.825971204
0.7,0.4,0.1,,0.840077872,0.840077872
0.7,0.45,0.1,,0.852905654,0.852905654
0.7,0.5,0.1,,0.866939487,0.866939487
0.7,0.55,0.1,,0.879864297,0.879864297
0.7,0.6,0.1,,0.893343907,0.893343907
0.7,0.65,0.1,,0.906284481,0.906284481
0.7,0.7,0.1,,0.919725361,0.919725361
0.7,0.75,0.1,,0.933251294,0.933251294
0.7,0.8,0.1,,0.946675472,0.946675472
0.7,0.85,0.1,,0.960026534,0.960026534
0.7,0.9,0.1,,0.973423002,0.973423002
0.7,0.95,0.1,,0.98650578,0.98650578
0.7,1,0.1,,1,1
0.75,0,0.6,0.778519693,,0.778519693
0.75,0.05,0.6,0.787765242,,0.787765242
0.75,0.1,0.6,0.798005251,,0.798005251
0.75,0.15,0.6,0.812519235,,0.812519235
0.75,0.2,0.6,0.8225108,,0.8225108
0.75,0.25,0.6,0.832381585,,0.832381585
0.75,0.3,0.1,,0.845142938,0.845142938
0.75,0.35,0.1,,0.854787474,0.854787474
0.75,0.4,0.1,,0.866954598,0.866954598
0.75,0.45,0.1,,0.877682743,0.877682743
0.75,0.5,0.1,,0.888798748,0.888798748
0.75,0.55,0.1,,0.900030086,0.900030086
0.75,0.6,0.1,,0.9110814,0.9110814
0.75,0.65,0.1,,0.922033138,0.922033138
0.75,0.7,0.1,,0.933384862,0.933384862
0.75,0.75,0.1,,0.944215765,0.944215765
0.75,0.8,0.1,,0.955588841,0.955588841
0.75,0.85,0.1,,0.966853452,0.966853452
0.75,0.9,0.1,,0.977671169,0.977671169
0.75,0.95,0.1,,0.988875212,0.988875212
0.75,1,0.1,,1,1
0.8,0,0.6,0.822384696,,0.822384696
0.8,0.05,0.6,0.830391691,,0.830391691
0.8,0.1,0.6,0.839931641,,0.839931641
0.8,0.15,0.6,0.849017703,,0.849017703
0.8,0.2,0.6,0.857222362,,0.857222362
0.8,0.25,0.6,0.866825778,,0.866825778
0.8,0.3,0.1,,0.875330831,0.875330831
0.8,0.35,0.1,,0.884481136,0.884481136
0.8,0.4,0.1,,0.893299669,0.893299669
0.8,0.45,0.1,,0.902053779,0.902053779
0.8,0.5,0.1,,0.911121503,0.911121503
0.8,0.55,0.1,,0.919989838,0.919989838
0.8,0.6,0.1,,0.928680069,0.928680069
0.8,0.65,0.1,,0.937630332,0.937630332
0.8,0.7,0.1,,0.946627031,0.946627031
0.8,0.75,0.1,,0.955421257,0.955421257
0.8,0.8,0.1,,0.964431025,0.964431025
0.8,0.85,0.1,,0.973333792,0.973333792
0.8,0.9,0.1,,0.982194951,0.982194951
0.8,0.95,0.1,,0.991296875,0.991296875
0.8,1,0.1,,1,1
0.85,0,0.6,0.866994637,,0.866994637
0.85,0.05,0.6,0.873025198,,0.873025198
0.85,0.1,0.6,0.880015061,,0.880015061
0.85,0.15,0.6,0.886544215,,0.886544215
0.85,0.2,0.6,0.893622367,,0.893622367
0.85,0.25,0.6,0.899703085,,0.899703085
0.85,0.3,0.1,,0.906676695,0.906676695
0.85,0.35,0.1,,0.913136354,0.913136354
0.85,0.4,0.1,,0.920022772,0.920022772
0.85,0.45,0.1,,0.926724874,0.926724874
0.85,0.5,0.1,,0.933395562,0.933395562
0.85,0.55,0.1,,0.94005824,0.94005824
0.85,0.6,0.1,,0.946780578,0.946780578
0.85,0.65,0.1,,0.953403451,0.953403451
0.85,0.7,0.1,,0.959895281,0.959895281
0.85,0.75,0.1,,0.966774696,0.966774696
0.85,0.8,0.1,,0.973209864,0.973209864
0.85,0.85,0.1,,0.980108515,0.980108515
0.85,0.9,0.1,,0.986310092,0.986310092
0.85,0.95,0.1,,0.993544824,0.993544824
0.85,1,0.1,,1,1
0.9,0,0.6,0.910940895,,0.910940895
0.9,0.05,0.6,0.915737046,,0.915737046
0.9,0.1,0.6,0.919660325,,0.919660325
0.9,0.15,0.6,0.924551025,,0.924551025
0.9,0.2,0.6,0.928863204,,0.928863204
0.9,0.25,0.6,0.933270857,,0.933270857
0.9,0.3,0.1,,0.937597136,0.937597136
0.9,0.35,0.1,,0.942206001,0.942206001
0.9,0.4,0.1,,0.94665098,0.94665098
0.9,0.45,0.1,,0.951003075,0.951003075
0.9,0.5,0.1,,0.955541969,0.955541969
0.9,0.55,0.1,,0.959941666,0.959941666
0.9,0.6,0.1,,0.96437434,0.96437434
0.9,0.65,0.1,,0.96882614,0.96882614
0.9,0.7,0.1,,0.973344865,0.973344865
0.9,0.75,0.1,,0.977772373,0.977772373
0.9,0.8,0.1,,0.982137466,0.982137466
0.9,0.85,0.1,,0.986735143,0.986735143
0.9,0.9,0.1,,0.991234667,0.991234667
0.9,0.95,0.1,,0.995438727,0.995438727
0.9,1,0.1,,1,1
0.95,0,0.6,0.955490565,,0.955490565
0.95,0.05,0.6,0.957572218,,0.957572218
0.95,0.1,0.6,0.959971472,,0.959971472
0.95,0.15,0.6,0.962107533,,0.962107533
0.95,0.2,0.6,0.96456686,,0.96456686
0.95,0.25,0.6,0.966655859,,0.966655859
0.95,0.3,0.1,,0.969064794,0.969064794
0.95,0.35,0.1,,0.971113971,0.971113971
0.95,0.4,0.1,,0.973503468,0.973503468
0.95,0.45,0.1,,0.975703617,0.975703617
0.95,0.5,0.1,,0.977706891,0.977706891
0.95,0.55,0.1,,0.979962589,0.979962589
0.95,0.6,0.1,,0.982172757,0.982172757
0.95,0.65,0.1,,0.984432909,0.984432909
0.95,0.7,0.1,,0.986650325,0.986650325
0.95,0.75,0.1,,0.989222451,0.989222451
0.95,0.8,0.1,,0.991150441,0.991150441
0.95,0.85,0.1,,0.993087091,0.993087091
0.95,0.9,0.1,,0.99546161,0.99546161
0.95,0.95,0.1,,0.997594141,0.997594141
0.95,1,0.1,,1,1
1,0,0.6,1,,1
1,0.05,0.6,1,,1
1,0.1,0.6,1,,1
1,0.15,0.6,1,,1
1,0.2,0.6,1,,1
1,0.25,0.6,1,,1
1,0.3,0.1,,1,1
1,0.35,0.1,,1,1
1,0.4,0.1,,1,1
1,0.45,0.1,,1,1
1,0.5,0.1,,1,1
1,0.55,0.1,,1,1
1,0.6,0.1,,1,1
1,0.65,0.1,,1,1
1,0.7,0.1,,1,1
1,0.75,0.1,,1,1
1,0.8,0.1,,1,1
1,0.85,0.1,,1,1
1,0.9,0.1,,1,1
1,0.95,0.1,,1,1
1,1,0.1,,1,1
,,,,,0
