conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0.55,0,0.6,0.348524794,
0.55,0.05,0.6,0.380495899,
0.55,0.1,0.6,0.420842889,
0.55,0.15,0.6,0.421832742,
0.55,0.2,0.6,0.441261412,
0.55,0.25,0.6,0.479397386,
0.55,0.3,0.1,0.52784819,
0.55,0.35,0.1,0.552791536,
0.55,0.4,0.1,0.573152755,
0.55,0.45,0.1,0.600269585,
0.55,0.5,0.1,0.632889641,
0.55,0.55,0.1,0.658995908,
0.55,0.6,0.1,0.697153346,
0.55,0.65,0.1,0.728367585,
0.55,0.7,0.1,0.764384431,
0.55,0.75,0.1,0.800852235,
0.55,0.8,0.1,0.837138193,
0.55,0.85,0.1,0.877603212,
0.55,0.9,0.1,0.917954369,
0.55,0.95,0.1,0.965718039,
0.55,1,0.1,1,
0.6,0,0.6,0.430446271,
0.6,0.05,0.6,0.431149886,
0.6,0.1,0.6,0.443609539,
0.6,0.15,0.6,0.484591474,
0.6,0.2,0.6,0.528475516,
0.6,0.25,0.6,0.550105366,
0.6,0.3,0.1,0.563114922,
0.6,0.35,0.1,0.598962951,
0.6,0.4,0.1,0.609284023,
0.6,0.45,0.1,0.638836281,
0.6,0.5,0.1,0.677669346,
0.6,0.55,0.1,0.703561294,
0.6,0.6,0.1,0.729315382,
0.6,0.65,0.1,0.758532889,
0.6,0.7,0.1,0.789667722,
0.6,0.75,0.1,0.826961807,
0.6,0.8,0.1,0.859857415,
0.6,0.85,0.1,0.8948165,
0.6,0.9,0.1,0.931992304,
0.6,0.95,0.1,0.96711499,
0.6,1,0.1,1,
0.65,0,0.6,0.465344003,
0.65,0.05,0.6,0.507979229,
0.65,0.1,0.6,0.543246261,
0.65,0.15,0.6,0.554860239,
0.65,0.2,0.6,0.568555124,
0.65,0.25,0.6,0.601718098,
0.65,0.3,0.1,0.607511631,
0.65,0.35,0.1,0.635600725,
0.65,0.4,0.1,0.656394739,
0.65,0.45,0.1,0.691269598,
0.65,0.5,0.1,0.713584843,
0.65,0.55,0.1,0.735980863,
