conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0.4,0.8,0.1,,0.7555307247360482
0.4,0.85,0.1,,0.8122445301659126
0.4,0.9,0.1,,0.8697669170437407
0.4,0.95,0.1,,0.9389049509803922
0.4,1.0,0.1,,1.0
0.45,0.0,0.6,0.27279577828054297,
0.45,0.05,0.6,0.2961116432880845,
0.45,0.1,0.6,0.3335095233785822,
0.45,0.15,0.6,0.37131248717948717,
0.45,0.2,0.6,0.3292408898944193,
0.45,0.25,0.6,0.3788103846153846,
0.45,0.3,0.1,,0.41864175641025636
0.45,0.35,0.1,,0.4312447141779789
0.45,0.4,0.1,,0.4546861628959276
0.45,0.45,0.1,,0.5101732292609351
0.45,0.5,0.1,,0.5552856787330317
0.45,0.55,0.1,,0.5797451040723982
0.45,0.6,0.1,,0.6103586696832579
0.45,0.65,0.1,,0.6487139720965309
0.45,0.7,0.1,,0.6999644457013575
0.45,0.75,0.1,,0.737699044494721
0.45,0.8,0.1,,0.787159
0.45,0.85,0.1,,0.8360906885369533
0.45,0.9,0.1,,0.8889571847662142
0.45,0.95,0.1,,0.9476511101055807
0.45,1.0,0.1,,1.0
0.5,0.0,0.6,0.3362590595776772,
0.5,0.05,0.6,0.3717626440422323,
0.5,0.1,0.6,0.32528960859728506,
0.5,0.15,0.6,0.37403499773755655,
0.5,0.2,0.6,0.4095718740573152,
0.5,0.25,0.6,0.4309386123680241,
0.5,0.3,0.1,,0.4467547307692307
0.5,0.35,0.1,,0.47890236123680235
0.5,0.4,0.1,,0.5366527390648567
0.5,0.45,0.1,,0.5621151357466063
0.5,0.5,0.1,,0.589566173453997
0.5,0.55,0.1,,0.6148942473604827
0.5,0.6,0.1,,0.6489582639517345
0.5,0.65,0.1,,0.6954051561085973
0.5,0.7,0.1,,0.7287365588235294
0.5,0.75,0.1,,0.7711065852187029
0.5,0.8,0.1,,0.8128160354449473
0.5,0.85,0.1,,0.855975604826546
0.5,0.9,0.1,,0.9025069155354449
0.5,0.95,0.1,,0.9581205075414782
0.5,1.0,0.1,,1.0
0.55,0.0,0.6,0.33521675942684764,
0.55,0.05,0.6,0.3786600859728507,
0.55,0.1,0.6,0.41182530769230774,
0.55,0.15,0.6,0.43441181825037706,
0.55,0.2,0.6,0.4467434125188537,
0.55,0.25,0.6,0.466938455505279,
0.55,0.3,0.1,,0.5178628220211162
0.55,0.35,0.1,,0.5543170535444948
0.55,0.4,0.1,,0.5678954886877828
0.55,0.45,0.1,,0.6051458650075415
0.55,0.5,0.1,,0.6266475874811464
0.55,0.55,0.1,,0.6527970671191554
0.55,0.6,0.1,,0.6951546214177978
0.55,0.65,0.1,,0.7246851757164404
0.55,0.7,0.1,,0.7628301093514328
0.55,0.75,0.1,,0.7963018815987934
0.55,0.8,0.1,,0.8348345422322776
0.55,0.85,0.1,,0.8740672843137255
0.55,0.9,0.1,,0.9177409615384615
0.55,0.95,0.1,,0.9601655176470588
0.55,1.0,0.1,,1.0
0.6,0.0,0.6,0.42715314328808446,
0.6,0.05,0.6,0.42763349698340875,
0.6,0.1,0.6,0.4469036885369532,
0.6,0.15,0.6,0.4722335844645551,
0.6,0.2,0.6,0.5167750452488687,
0.6,0.25,0.6,0.5526025279034691,
0.6,0.3,0.1,,0.5654487956259427
0.6,0.35,0.1,,0.5932159758672699
0.6,0.4,0.1,,0.6082915837104073
0.6,0.45,0.1,,0.6393087179487179
0.6,0.5,0.1,,0.6674324125188537
0.6,0.55,0.1,,0.6997388220211161
0.6,0.6,0.1,,0.7261218227752639
0.6,0.65,0.1,,0.7587653076923077
0.6,0.7,0.1,,0.7888991666666667
0.6,0.75,0.1,,0.8229899502262443
0.6,0.8,0.1,,0.8557099374057315
0.6,0.85,0.1,,0.8898383438914028
0.6,0.9,0.1,,0.9267960165912519
0.6,0.95,0.1,,0.9688088665158371
0.6,1.0,0.1,,1.0
0.65,0.0,0.6,0.45752660708898946,
0.65,0.05,0.6,0.4946350904977376,
0.65,0.1,0.6,0.5360860641025641,
0.65,0.15,0.6,0.5559114653092005,
0.65,0.2,0.6,0.5666733499245852,
0.65,0.25,0.6,0.5946614079939668,
0.65,0.3,0.1,,0.6067216666666667
0.65,0.35,0.1,,0.6345421108597284
0.65,0.4,0.1,,0.6525227428355957
0.65,0.45,0.1,,0.6901506078431373
0.65,0.5,0.1,,0.7111602269984917
0.65,0.55,0.1,,0.7340235256410257
