migration,p0_processed,p1_processed,p2_processed,p3_processed,p4_processed,p5_processed,p6_processed,p7_processed,p8_processed,p9_processed,p10_processed,p11_processed,p13_processed,p14_processed,p15_processed,p16_processed,p17_processed,p18_processed,p19_processed,p0_Y90_processed,p1_Y90_processed,p2_Y90_processed,p3_Y90_processed,p4_Y90_processed,p5_Y90_processed,p6_Y90_processed,p7_Y90_processed,p8_Y90_processed,p9_Y90_processed,p10_Y90_processed,p11_Y90_processed,p13_Y90_processed,p14_Y90_processed,p15_Y90_processed,p16_Y90_processed,p17_Y90_processed,p18_Y90_processed,p19_Y90_processed,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ants,Total_biomass,Y90_total_ants_biomass,ann_avg
0.7,2217.057142857143,7955.252380952382,18020.47619047619,11869.047619047618,10310.266666666666,17340.609523809526,9643.228571428572,12926.417676190476,11327.13295,8094.030614285714,9714.285714285714,45333.333333333336,5592598.033333333,12506285.314285714,27743216.19047619,43327958.333333336,49939249.495238096,49586261.14285714,23547087.2,3922.4857142857145,9052.528571428571,25644.523809523813,28485.714285714286,38295.276190476194,31528.38095238095,27322.480952380953,16158.022095238093,17799.78035,14569.255105714286,16190.476190476189,92285.71428571428,3871533.0,9550171.942857143,21932998.80952381,34686698.21428572,39941236.61904762,39781722.876190476,19022819.2,164751.13838333334,98850.68303,212242655.7095238,212407406.84790713,212341506.3925538,168976048.31031188,0
0.75,25325.614285714288,41147.857142857145,107429.76190476191,143615.47619047618,131087.6761904762,133995.61904761905,138219.60952380951,75942.70384761905,74435.4451,58277.020422857146,48571.428571428565,158666.66666666666,6420835.8,14064170.228571428,30359304.166666668,47604376.19047619,54761508.504761904,54267437.504761904,25721628.8,12875.985714285714,25237.35238095238,47130.47619047619,65279.76190476191,51551.33333333333,47292.57142857143,32144.095238095237,25852.835352380953,16181.618499999999,8094.030614285714,11333.333333333334,30761.90476190476,4418220.233333333,10541989.676190477,23719798.333333332,37430228.571428575,42815591.67619047,42523115.599999994,20362420.400000002,1136714.8788942855,682028.9273365713,233199261.1952381,234335976.0741324,233881290.1225747,182065715.46361277,0
0.8,255.81428571428572,274.31904761904764,1386.1904761904764,0.0,5891.580952380953,1576.4190476190477,1607.204761904762,3231.604419047619,0.0,1618.806122857143,1619.0476190476193,11333.333333333334,5458601.466666667,12679932.285714285,28381903.45238095,45354598.21428572,53018336.99047619,52626385.276190475,25102053.2,2217.057142857143,6309.338095238095,15941.190476190475,21364.285714285714,26512.114285714288,17340.609523809526,11250.433333333332,14542.219885714285,14563.45665,3237.612245714286,11333.333333333334,87428.57142857142,4280088.233333333,10467510.761904763,23787721.666666668,37408270.833333336,43677235.39047619,43780309.790476196,20842169.6,28794.320065714288,17276.59203942857,222621810.8857143,222650605.20578,222639087.47775373,184381559.12578562,0
0.85,255.81428571428572,274.31904761904764,2772.3809523809527,7121.428571428572,1472.8952380952383,1576.4190476190477,1607.204761904762,3231.604419047619,1618.16185,1618.806122857143,0.0,17809.52380952381,5677012.033333334,12896510.933333334,28462302.5,44767673.809523806,51336290.62857143,50728376.74285714,24018800.4,2899.2285714285717,2194.552380952381,11089.523809523811,15429.761904761905,16201.84761904762,12611.352380952381,20893.661904761906,11310.615466666666,8090.809249999999,14569.255105714286,9714.285714285714,59904.76190476191,3986941.4333333336,9841366.666666668,22342618.095238093,35321692.26190476,40812454.15238095,41144537.14285714,19566856.4,39358.55810619048,23615.134863714287,217886967.04761907,217926325.60572526,217910582.18248278,173119641.67659894,0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5581939.699999999,12606002.01904762,27710294.166666664,43824677.97619048,49798588.0,49631189.08571429,23780934.8,511.62857142857143,2468.8714285714286,3465.4761904761904,2373.809523809524,1472.8952380952383,7882.095238095238,3214.409523809524,3231.604419047619,3236.3237,4856.418368571429,3238.0952380952385,19428.571428571428,3999177.2,9685825.066666666,21936117.738095235,34915770.833333336,40190155.91428571,40050502.32380952,19073446.0,0.0,0.0,212933625.74761906,212933625.74761906,212933625.74761906,169881309.34449047,0
0.95,341.0857142857143,1097.2761904761905,1386.1904761904764,4747.619047619048,5891.580952380953,3152.8380952380953,0.0,0.0,1618.16185,0.0,1619.0476190476193,4857.142857142857,5621077.100000001,12764835.504761904,28230115.595238097,44612189.28571429,50711046.599999994,50249145.352380954,23940851.200000003,2131.785714285714,5760.700000000001,9010.238095238095,21364.285714285714,26512.114285714288,11034.933333333332,12857.638095238097,16158.022095238093,11327.13295,11331.64286,9714.285714285714,105238.09523809524,4014397.3000000003,9860980.819047619,22283358.45238095,35475396.428571425,40932495.114285715,40829253.33333333,19350688.0,24710.942802380952,14826.56568142857,216129260.63809526,216153971.58089763,216144087.2037767,172885234.98636046,0
1.0,426.35714285714283,1920.2333333333333,2772.3809523809527,1186.904761904762,0.0,0.0,0.0,4847.406628571428,3236.3237,1618.806122857143,0.0,9714.285714285714,5102527.866666666,11809640.0,26284943.80952381,41277580.35714286,47781457.97142857,47646477.504761904,22518479.2,1961.2428571428572,2468.8714285714286,4851.666666666667,7121.428571428572,5891.580952380953,15764.190476190475,11250.433333333332,3231.604419047619,4854.485549999999,9712.836737142858,3238.0952380952385,43714.28571428571,3807625.6333333333,9375839.161904762,21529617.380952384,34353177.97619048,39656231.39047619,39754923.75238095,19320151.2,25722.698356190474,15433.619013714284,202421106.7095238,202446829.40787998,202436540.32853752,167861146.51003605,0
