conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0.85,0.3,0.1,0.707792393,
0.85,0.35,0.1,0.684624903,
0.85,0.4,0.1,0.644427085,
0.85,0.45,0.1,0.643921161,
0.85,0.5,0.1,0.645648933,
0.85,0.55,0.1,0.682533633,
0.85,0.6,0.1,0.659394111,
0.85,0.65,0.1,0.652502075,
0.85,0.7,0.1,0.662623163,
0.85,0.75,0.1,0.67248184,
0.85,0.8,0.1,0.687049155,
0.85,0.85,0.1,0.703873337,
0.85,0.9,0.1,0.709368963,
0.85,0.95,0.1,0.676795395,
0.85,1,0.1,0.678727714,
0.9,0,0.6,0.80821384,
0.9,0.05,0.6,0.775365199,
0.9,0.1,0.6,0.808482479,
0.9,0.15,0.6,0.806738018,
0.9,0.2,0.6,0.808268148,
0.9,0.25,0.6,0.808209285,
0.9,0.3,0.1,0.806041085,
0.9,0.35,0.1,0.80481434,
0.9,0.4,0.1,0.805015384,
0.9,0.45,0.1,0.805071071,
0.9,0.5,0.1,0.803663687,
0.9,0.55,0.1,0.769884627,
0.9,0.6,0.1,0.770715914,
0.9,0.65,0.1,0.775028271,
0.9,0.7,0.1,0.773416687,
0.9,0.75,0.1,0.777277752,
0.9,0.8,0.1,0.78483564,
0.9,0.85,0.1,0.765510222,
0.9,0.9,0.1,0.799193731,
0.9,0.95,0.1,0.762868896,
0.9,1,0.1,0.762809002,
0.95,0,0.6,0.903177196,
0.95,0.05,0.6,0.8666532,
0.95,0.1,0.6,0.901091151,
0.95,0.15,0.6,0.90232505,
0.95,0.2,0.6,0.904605699,
0.95,0.25,0.6,0.885011705,
0.95,0.3,0.1,0.857861376,
0.95,0.35,0.1,0.830268011,
0.95,0.4,0.1,0.903181275,
0.95,0.45,0.1,0.854819615,
0.95,0.5,0.1,0.858168791,
0.95,0.55,0.1,0.860850569,
0.95,0.6,0.1,0.863754216,
0.95,0.65,0.1,0.869225653,
0.95,0.7,0.1,0.866578877,
0.95,0.75,0.1,0.870230632,
0.95,0.8,0.1,0.878963201,
0.95,0.85,0.1,0.887243524,
0.95,0.9,0.1,0.891919071,
0.95,0.95,0.1,0.899084183,
0.95,1,0.1,0.85960895,
1,0,0.6,1,
1,0.05,0.6,0.912352521,
1,0.1,0.6,0.95,
1,0.15,0.6,0.958189196,
1,0.2,0.6,1,
1,0.25,0.6,0.927971243,
1,0.3,0.1,0.967349381,
1,0.35,0.1,0.91503988,
1,0.4,0.1,0.899983361,
1,0.45,0.1,0.90084769,
1,0.5,0.1,0.902502822,
1,0.55,0.1,0.947909184,
1,0.6,0.1,0.904084619,
1,0.65,0.1,0.922999497,
1,0.7,0.1,0.917126683,
1,0.75,0.1,0.930512977,
1,0.8,0.1,0.945723075,
1,0.85,0.1,0.963324292,
1,0.9,0.1,0.886900922,
1,0.95,0.1,0.989882073,
1,1,0.1,0.946955227,
